,id,Tanggal_Order,Waktu_Pesan,Nama_Pemesan,No_Resi,Produk,Kategori,Jumlah_Pesanan,Harga,Diskon,Total_Harga,Profit,Kota_Pengiriman - Media Pemesanan,Admin_Proses,Ekspedisi,Rating
231,232,2018/02/02,14:50:57,Jamima Lambert,58809-907,T-Shirt,,11.0,,30.0,,,,Nami,POS Indonesia,2.0
232,233,2018/02/01,12:29:32,Bonny Caro,66116-810,Oversized T-Shirt,,,,,,,Semarang - FB Marketplace,Rizal,JNT,1.0
233,234,2018/02/08,20:40:58,Rosene Bryce,30142-906,Topi,,12.0,,,,,Yogyakarta - Tiktok,Jeff,Wahana,5.0
234,235,2018/02/11,19:53:57,Matilda Fortman,54868-5257,Oversized T-Shirt,,9.0,,7.0,,,Bandung - Instagram,Jeff,Shopee Express,3.0
235,236,2018/02/27,4:15:30,Gipsy Marchetti,61589-6001,T-Shirt,,7.0,,29.0,,,Yogyakarta - Instagram,Abraham,Wahana,3.0
236,237,2018/02/19,3:14:26,Eleonora Moreside,58118-0404,Oversized T-Shirt,,8.0,,,,,Depok - FB Marketplace,Jeff,Shopee Express,2.0
237,238,2018/02/09,3:31:08,Athena Allenby,43063-482,Sweater,,18.0,,,,,Yogyakarta - FB Marketplace,Elon,SiCepat,1.0
238,239,2018/02/13,19:04:15,Kristopher Skinley,16590-345,Sweater,,20.0,,10.0,,,Tangerang - Tokopedia,Abraham,JNT,2.0
239,240,2018/02/07,23:12:29,Pooh Brainsby,66993-472,Oversized T-Shirt,,12.0,,,,,Semarang - Shopee,Elon,SiCepat,5.0
240,241,2018/02/13,6:34:08,Denny Tunnacliffe,63304-652,Mug,,7.0,,,,,Bogor - FB Marketplace,Wanokuni,SiCepat,3.0
241,242,2018/02/15,18:08:21,Gan Castagne,57520-0468,T-Shirt,,5.0,,,,,Semarang - Website,Abraham,Tiki,4.0
242,243,2018/02/14,14:23:36,Curt Palfreman,51346-212,T-Shirt,,21.0,,34.0,,,Yogyakarta - Lazada,Rizal,JNE,5.0
243,244,2018/02/03,6:29:35,Simonette Spire,68151-1494,T-Shirt,,17.0,,28.0,,,Bandung - Tiktok,Elon,SiCepat,
244,245,2018/02/14,14:05:03,Wallie Moreland,36987-2808,Mug,,9.0,,,,,Depok - Shopee,Nami,Shopee Express,1.0
245,246,2018/02/10,8:00:59,Tobye Colleer,42406-006,Oversized T-Shirt,,,,17.0,,,Bali - Shopee,Nami,Shopee Express,5.0
246,247,2018/02/19,5:05:37,Muhammad Agget,55118-400,Oversized T-Shirt,,11.0,,,,,,Nami,JNT,3.0
247,248,2018/02/06,23:58:49,Emanuele Chicchelli,54868-0173,Topi,,12.0,,,,,Bogor - Shopee,Jeff,Tiki,1.0
248,249,2018/02/10,23:33:36,Molli Cothey,0378-0525,Sweater,,,,24.0,,,Depok - Instagram,Mark,JNE,3.0
249,250,2018/02/19,0:03:17,Otto Earey,53808-0347,Oversized T-Shirt,,5.0,,,,,Semarang - Shopee,Jeff,Tiki,4.0
250,251,2018/02/10,12:16:36,Rutter McGriele,0093-7381,Sweater,,17.0,,34.0,,,Jakarta - Shopee,Rizal,POS Indonesia,4.0
251,252,2018/02/13,3:42:44,Nicolai Jerrems,0032-1212,Parka Jackets,,2.0,,17.0,,,Bogor - FB Marketplace,Jeff,JNT,3.0
252,253,2018/02/16,17:18:05,Bessy Brackpool,0069-0177,Cargo Pants,,23.0,,,,,Tangerang - FB Marketplace,Elon,POS Indonesia,5.0
253,254,2018/02/19,10:53:45,Frannie Roselli,0574-0194,Oversized T-Shirt,,16.0,,,,,Bogor - Whatsapp,Rizal,JNE,3.0
254,255,2018/02/15,17:29:05,Netta Stirrip,10348-002,Oversized T-Shirt,,22.0,,,,,Depok - Website,Elon,POS Indonesia,
255,256,2018/02/04,14:11:11,Silas Ghidini,48878-4031,Parka Jackets,,15.0,,,,,Bali - Whatsapp,Jeff,Tiki,3.0
256,257,2018/02/04,15:02:34,Terza McErlaine,0406-8894,Mug,,15.0,,8.0,,,Semarang - Lazada,Abraham,Shopee Express,5.0
257,258,2018/02/19,12:06:05,Tris Clewlow,13537-162,Oversized T-Shirt,,22.0,,,,,Semarang - Whatsapp,Mark,Shopee Express,3.0
258,259,2018/02/20,2:35:11,Loraine Meaddowcroft,55319-235,Oversized T-Shirt,,2.0,,16.0,,,,Jeff,SiCepat,2.0
259,260,2018/02/08,23:32:13,Vaclav Bocken,0378-1821,Cargo Pants,,21.0,,,,,Depok - Tiktok,Elon,JNE,2.0
260,261,2018/02/12,13:29:25,Melva Pohls,36987-2917,T-Shirt,,23.0,,,,,Tangerang - FB Marketplace,Nami,,2.0
261,262,2018/02/02,14:45:30,Betteann Glass,21695-952,Oversized T-Shirt,,19.0,,,,,Bandung - Lazada,Wanokuni,Wahana,2.0
262,263,2018/02/08,13:03:35,Robbie Yearron,0869-0213,Mug,,6.0,,33.0,,,Bali - Lazada,Wanokuni,SiCepat,4.0
263,264,2018/02/18,22:45:20,Eugenio Drieu,36800-125,Parka Jackets,,5.0,,,,,Tangerang - Instagram,Jeff,JNT,1.0
264,265,2018/02/08,0:05:36,Gabbey Wallsworth,40046-0037,T-Shirt,,4.0,,,,,Yogyakarta - Instagram,Nami,Shopee Express,3.0
265,266,2018/02/16,14:43:29,Dollie Bernt,67172-212,Oversized T-Shirt,,6.0,,,,,Bogor - Tiktok,Nami,Wahana,2.0
266,267,2018/02/04,8:12:03,Benson Rawlyns,22912-002,T-Shirt,,14.0,,14.0,,,,Elon,JNE,4.0
267,268,2018/02/05,16:04:50,Nicolai Jerrems,51079-161,Oversized T-Shirt,,10.0,,5.0,,,Yogyakarta - Lazada,Nami,Tiki,4.0
268,269,2018/02/22,1:18:26,Ange Reiglar,49035-006,Sweater,,16.0,,13.0,,,Bali - FB Marketplace,Elon,Wahana,4.0
269,270,2018/02/04,2:39:59,Bree Gwyn,43406-0011,,,18.0,,16.0,,,Tangerang - Website,Mark,Wahana,3.0
270,271,2018/02/08,11:11:16,Philippine Clapston,54569-6362,Oversized T-Shirt,,7.0,,,,,Tangerang - Instagram,Nami,Wahana,1.0
271,272,2018/02/08,6:51:47,Moshe Well,51393-6555,Oversized T-Shirt,,12.0,,11.0,,,Bogor - Tokopedia,Wanokuni,POS Indonesia,4.0
272,273,2018/02/01,16:17:33,Terry Kiebes,68828-117,Parka Jackets,,15.0,,,,,,Mark,POS Indonesia,1.0
273,274,2018/02/27,5:31:19,Bear Brayfield,35356-859,T-Shirt,,4.0,,,,,Bali - Instagram,Elon,JNT,
274,275,2018/02/13,23:55:04,Tome Halkyard,57782-397,Oversized T-Shirt,,,,23.0,,,Jakarta - Whatsapp,Mark,Shopee Express,2.0
275,276,2018/02/24,12:09:17,Bryan Tenant,62802-214,,,12.0,,,,,Bogor - Lazada,Nami,Wahana,1.0
276,277,2018/02/25,3:08:51,Xena Baldcock,0025-1821,T-Shirt,,5.0,,,,,Bali - Lazada,Jeff,Wahana,1.0
277,278,2018/02/25,8:15:18,Stanfield Hulks,51655-979,Oversized T-Shirt,,14.0,,,,,Yogyakarta - Tiktok,Nami,SiCepat,4.0
278,279,2018/02/05,18:54:00,Anita Pretsel,35356-043,Parka Jackets,,16.0,,,,,Bandung - Website,Abraham,Shopee Express,1.0
279,280,2018/02/23,7:27:45,Delly Reckless,55513-283,Cargo Pants,,,,,,,Bogor - Lazada,Jeff,Shopee Express,5.0
280,281,2018/02/22,6:48:14,Wood McCarty,0904-6331,T-Shirt,,5.0,,8.0,,,,Wanokuni,JNT,4.0
281,282,2018/02/20,23:16:54,Dilly Cleiment,68703-066,T-Shirt,,16.0,,,,,Depok - Whatsapp,Mark,SiCepat,3.0
282,283,2018/02/10,6:49:15,Bonny Caro,17156-611,T-Shirt,,17.0,,8.0,,,,Jeff,Tiki,2.0
283,284,2018/02/02,20:17:38,Hana Craney,41163-302,,,11.0,,,,,Bali - Shopee,Mark,JNT,1.0
284,285,2018/02/13,10:15:48,Kattie Rantoul,37808-314,Mug,,1.0,,,,,Yogyakarta - Website,Nami,Shopee Express,4.0
285,286,2018/02/12,22:03:56,Vonnie Jendrys,63824-160,T-Shirt,,1.0,,30.0,,,Bali - Website,Jeff,JNE,2.0
286,287,2018/02/21,8:30:24,Emma Beddoes,49502-672,,,5.0,,8.0,,,Tangerang - FB Marketplace,Mark,Wahana,5.0
287,288,2018/02/24,14:23:52,Carlin Bausor,55154-6127,Cargo Pants,,5.0,,,,,Bali - Website,Nami,Tiki,1.0
288,289,2018/02/25,11:33:03,Sella Leist,68084-307,T-Shirt,,23.0,,6.0,,,Bogor - FB Marketplace,Mark,JNE,2.0
289,290,2018/02/26,21:40:57,Margery Ghiriardelli,11994-012,Cargo Pants,,20.0,,33.0,,,Jakarta - Whatsapp,Wanokuni,Wahana,4.0
290,291,2018/02/22,4:21:42,Leonie Organer,54569-8314,Parka Jackets,,3.0,,,,,Bandung - Website,Jeff,Tiki,1.0
291,292,2018/02/09,20:27:23,Cherice Trowler,0591-0242,Topi,,2.0,,17.0,,,Tangerang - Website,Rizal,Tiki,2.0
292,293,2018/02/21,9:49:24,Natala Quadrio,62175-311,Oversized T-Shirt,,5.0,,,,,Bandung - Tiktok,Abraham,Tiki,3.0
293,294,2018/02/11,4:39:35,Jerry Antram,60505-2878,Cargo Pants,,17.0,,14.0,,,Tangerang - Website,Wanokuni,SiCepat,2.0
294,295,2018/02/06,19:12:05,Chlo Jefferys,50383-889,T-Shirt,,15.0,,,,,Bandung - Shopee,Abraham,,1.0
295,296,2018/02/24,10:26:02,Marguerite Adolthine,35356-391,Cargo Pants,,6.0,,,,,Semarang - Instagram,Nami,SiCepat,
296,297,2018/02/04,4:01:18,Siusan Murrie,53808-0394,T-Shirt,,8.0,,31.0,,,Semarang - Tiktok,Wanokuni,SiCepat,5.0
297,298,2018/02/22,14:55:59,Carina Nund,0573-0218,T-Shirt,,19.0,,,,,Jakarta - Lazada,Rizal,Shopee Express,1.0
298,299,2018/02/12,19:09:38,Karie Coupe,49738-335,Oversized T-Shirt,,4.0,,,,,Bandung - Instagram,Rizal,JNT,3.0
299,300,2018/02/27,4:40:13,Betsey Slatford,36987-1959,Oversized T-Shirt,,9.0,,,,,Tangerang - Tiktok,Wanokuni,Shopee Express,5.0
300,301,2018/02/19,0:51:57,Lloyd Craney,69246-001,Oversized T-Shirt,,24.0,,,,,Depok - Instagram,Rizal,Tiki,5.0
301,302,2018/02/17,16:15:53,Mick Liversley,37012-163,Oversized T-Shirt,,21.0,,27.0,,,Semarang - Tokopedia,Jeff,POS Indonesia,5.0
302,303,2018/02/12,1:51:28,Dollie Bernt,10738-304,T-Shirt,,9.0,,20.0,,,Semarang - Whatsapp,Nami,,2.0
303,304,2018/02/17,11:43:22,Haskell Van Arsdale,0051-0022,T-Shirt,,9.0,,,,,Tangerang - Instagram,Rizal,Tiki,2.0
304,305,2018/02/24,5:15:49,Dido Daventry,98132-147,Sweater,,20.0,,,,,Bogor - Whatsapp,Jeff,Shopee Express,2.0
305,306,2018/02/01,19:23:00,Jacquette Crick,63304-400,,,13.0,,,,,Semarang - Lazada,Nami,,3.0
306,307,2018/02/22,16:38:50,Hortense Antoniewicz,54458-905,Topi,,20.0,,,,,Jakarta - Whatsapp,Jeff,Shopee Express,
307,308,2018/02/22,11:47:32,Gayle Pancoast,49349-496,T-Shirt,,25.0,,35.0,,,Bali - Tiktok,Wanokuni,Wahana,2.0
308,309,2018/02/12,20:42:36,Andrej Brackstone,51523-113,Oversized T-Shirt,,24.0,,,,,Semarang - Website,Nami,SiCepat,3.0
309,310,2018/02/08,1:47:34,Malissa Wigley,76354-008,Cargo Pants,,14.0,,23.0,,,Semarang - Instagram,Abraham,POS Indonesia,4.0
310,311,2018/02/12,17:59:15,Ludovico Stickel,63354-220,Sweater,,24.0,,,,,Bogor - FB Marketplace,Elon,JNT,4.0
311,312,2018/02/23,10:20:11,Alane Morat,14783-444,T-Shirt,,12.0,,,,,Depok - Lazada,Nami,,3.0
312,313,2018/02/04,2:15:35,Halette Paxforde,61010-8200,T-Shirt,,6.0,,,,,Bandung - Whatsapp,Abraham,Shopee Express,1.0
313,314,2018/02/27,5:46:15,Kelila Seals,52125-613,Oversized T-Shirt,,19.0,,,,,Depok - Lazada,Nami,JNE,
314,315,2018/02/03,2:48:31,Ellynn Weagener,67544-102,Mug,,16.0,,,,,Jakarta - Whatsapp,Mark,POS Indonesia,4.0
315,316,2018/02/08,8:39:23,Jessalin Chawner,51345-099,Topi,,12.0,,29.0,,,,Rizal,Tiki,2.0
316,317,2018/02/05,13:54:15,Guillema MacAllaster,52685-439,Oversized T-Shirt,,12.0,,,,,Bogor - Tiktok,Abraham,Tiki,5.0
317,318,2018/02/18,22:15:24,Rene Abramovitz,68788-9391,T-Shirt,,17.0,,,,,Tangerang - FB Marketplace,Abraham,POS Indonesia,1.0
318,319,2018/02/12,22:13:47,Marga Roggerone,10019-179,Oversized T-Shirt,,22.0,,,,,Bandung - Tiktok,Jeff,JNE,2.0
319,320,2018/02/13,19:05:20,Editha Woodland,34645-3026,Oversized T-Shirt,,13.0,,,,,Jakarta - Tiktok,Jeff,JNT,2.0
320,321,2018/02/09,13:17:56,Emma Lismore,61442-117,Mug,,18.0,,18.0,,,Bali - Tiktok,Abraham,Wahana,2.0
321,322,2018/02/09,20:38:16,Melly Grabham,0591-3193,Oversized T-Shirt,,15.0,,,,,Jakarta - Shopee,Wanokuni,Shopee Express,2.0
322,323,2018/02/20,8:23:18,Lanny Cunnington,50007-2000,Oversized T-Shirt,,20.0,,,,,,Rizal,Wahana,5.0
323,324,2018/02/02,22:44:11,Evelyn Whitehouse,0603-5335,Mug,,2.0,,18.0,,,Bandung - Instagram,Mark,Shopee Express,3.0
324,325,2018/02/16,4:51:35,Valenka Paule,54532-0016,Mug,,14.0,,30.0,,,Jakarta - FB Marketplace,Jeff,POS Indonesia,5.0
325,326,2018/02/06,15:12:59,Astra Inkin,0316-0140,T-Shirt,,10.0,,22.0,,,,Mark,Tiki,1.0
326,327,2018/02/14,2:22:22,Ogden Litchfield,65044-5002,Parka Jackets,,19.0,,,,,Bandung - Lazada,Rizal,SiCepat,2.0
327,328,2018/02/03,19:29:57,Benn Jandera,55648-782,Sweater,,16.0,,10.0,,,Semarang - Instagram,Nami,Wahana,1.0
328,329,2018/02/10,21:22:41,Clem Gillitt,58118-5027,Oversized T-Shirt,,11.0,,,,,Depok - Shopee,Elon,JNT,1.0
329,330,2018/02/16,12:36:48,Adam Spreull,59365-6065,Cargo Pants,,13.0,,,,,Bali - Lazada,Jeff,,1.0
330,331,2018/02/25,7:49:08,Donia Waddup,49349-952,Oversized T-Shirt,,23.0,,,,,Semarang - Tokopedia,Abraham,Wahana,2.0
331,332,2018/02/17,16:09:38,Halette Cawtheray,21695-040,Cargo Pants,,5.0,,,,,Yogyakarta - Whatsapp,Wanokuni,JNE,3.0
332,333,2018/02/17,18:29:34,Eugenio Drieu,49288-0149,Cargo Pants,,20.0,,,,,Bogor - Lazada,Nami,Wahana,
333,334,2018/02/21,22:43:26,Illa Tremble,16590-253,Sweater,,11.0,,,,,,Mark,Wahana,1.0
334,335,2018/02/27,2:39:44,Jeramey Crummay,50580-403,T-Shirt,,16.0,,,,,,Nami,,2.0
335,336,2018/02/09,23:55:38,Ofella Skidmore,60512-6489,Sweater,,6.0,,,,,Yogyakarta - Website,Jeff,POS Indonesia,4.0
336,337,2018/02/12,2:25:54,Jeralee Renzullo,16252-598,T-Shirt,,22.0,,,,,Semarang - FB Marketplace,Jeff,SiCepat,4.0
337,338,2018/02/24,1:19:20,Dougy Mathissen,43857-0239,Oversized T-Shirt,,13.0,,,,,Jakarta - Website,Rizal,SiCepat,3.0
338,339,2018/02/13,22:12:50,Guenevere Goudman,49349-812,T-Shirt,,16.0,,5.0,,,Bandung - Website,Elon,Tiki,
339,340,2018/02/24,6:46:28,Vivyanne Eddins,34645-4059,,,22.0,,,,,Bandung - FB Marketplace,Elon,POS Indonesia,4.0
340,341,2018/02/15,4:45:37,Ange Reiglar,0703-5145,Oversized T-Shirt,,2.0,,,,,Depok - Whatsapp,Rizal,Wahana,5.0
341,342,2018/02/19,20:45:48,Anthiathia Seppey,67457-523,Parka Jackets,,14.0,,,,,Tangerang - Tokopedia,Wanokuni,POS Indonesia,2.0
342,343,2018/02/17,21:40:20,Gabriele Boni,41250-110,Oversized T-Shirt,,21.0,,,,,Jakarta - Instagram,Mark,SiCepat,1.0
343,344,2018/02/19,5:06:35,Elnar Drever,51096-0006,T-Shirt,,25.0,,12.0,,,Bogor - Shopee,Abraham,JNE,4.0
344,345,2018/02/21,21:03:28,Bonny Caro,52731-7009,Parka Jackets,,13.0,,,,,,Mark,JNT,2.0
345,346,2018/02/23,15:03:09,Noach Inchan,63941-183,T-Shirt,,19.0,,12.0,,,Yogyakarta - Website,Mark,POS Indonesia,4.0
346,347,2018/02/27,3:42:51,Kaiser Jirick,59970-053,Parka Jackets,,14.0,,,,,Tangerang - Instagram,Jeff,SiCepat,1.0
347,348,2018/02/08,2:40:17,Sharon Gilbertson,64380-716,Oversized T-Shirt,,6.0,,23.0,,,Tangerang - Whatsapp,Elon,POS Indonesia,2.0
348,349,2018/02/21,17:37:57,Bebe Sutty,64942-0779,Mug,,14.0,,,,,Bandung - Website,Elon,JNT,2.0
349,350,2018/02/21,8:58:24,Barclay Uccelli,68001-188,Topi,,9.0,,,,,Jakarta - Whatsapp,Nami,SiCepat,4.0
350,351,2018/02/26,11:58:32,Coop Miroy,59667-0034,Mug,,24.0,,30.0,,,Jakarta - Lazada,Wanokuni,SiCepat,5.0
351,352,2018/02/06,6:35:56,Otto Earey,25021-212,Sweater,,5.0,,,,,Semarang - Lazada,Wanokuni,Shopee Express,4.0
352,353,2018/02/26,2:01:30,Donavon Didball,49349-701,Parka Jackets,,25.0,,,,,Bandung - Tiktok,Jeff,SiCepat,2.0
353,354,2018/02/23,16:25:33,Mayne Eliaz,60429-319,Cargo Pants,,,,7.0,,,Tangerang - Instagram,Rizal,Wahana,5.0
354,355,2018/02/05,3:38:03,Clim Antat,43742-0240,T-Shirt,,4.0,,26.0,,,Tangerang - Website,Mark,POS Indonesia,1.0
355,356,2018/02/07,18:36:32,Rubi Riddle,37205-837,Cargo Pants,,25.0,,,,,Depok - FB Marketplace,Mark,Shopee Express,4.0
356,357,2018/02/24,2:23:06,Patrizia Devas,27808-051,Cargo Pants,,12.0,,19.0,,,Bali - Lazada,Elon,JNE,3.0
357,358,2018/02/21,20:16:36,Vivyanne Eddins,20276-052,Mug,,19.0,,10.0,,,Bandung - Lazada,Rizal,JNT,4.0
358,359,2018/02/15,17:33:51,Philis Cavnor,54973-2910,T-Shirt,,21.0,,26.0,,,Jakarta - Shopee,Wanokuni,POS Indonesia,2.0
359,360,2018/02/15,20:50:25,Dee dee Sheivels,0615-7709,T-Shirt,,6.0,,,,,Bogor - Instagram,Nami,,5.0
360,361,2018/02/26,15:45:50,Lea Uzelli,60760-985,Sweater,,11.0,,,,,Bogor - Tiktok,Abraham,JNT,
361,362,2018/02/27,13:37:48,Gregoor Gooms,43857-0265,Mug,,10.0,,,,,Bogor - FB Marketplace,Mark,,1.0
362,363,2018/02/16,16:44:14,Penny Bercevelo,48951-6014,T-Shirt,,12.0,,29.0,,,,Nami,,5.0
363,364,2018/02/13,4:21:08,Noach Inchan,0363-0446,,,17.0,,,,,Semarang - Instagram,Mark,Wahana,2.0
364,365,2018/02/14,21:32:03,Crysta Ward,0904-1057,Topi,,12.0,,20.0,,,Bali - Instagram,Wanokuni,JNE,4.0
365,366,2018/02/04,12:51:34,Carina Nund,49738-558,Oversized T-Shirt,,4.0,,5.0,,,Yogyakarta - Tokopedia,Abraham,JNE,2.0
366,367,2018/02/27,16:47:02,Ellynn Weagener,41250-693,Oversized T-Shirt,,14.0,,,,,Bali - FB Marketplace,Elon,,3.0
367,368,2018/02/07,5:52:09,Douglas Hurling,66184-150,Topi,,,,,,,Depok - Lazada,Rizal,Wahana,5.0
368,369,2018/02/06,14:27:29,Mischa Plowman,68645-457,Parka Jackets,,6.0,,,,,Depok - Tokopedia,Abraham,,2.0
369,370,2018/02/16,2:18:51,Cello Langforth,49349-891,Mug,,6.0,,,,,Depok - Instagram,Abraham,JNT,1.0
370,371,2018/02/18,15:41:46,Fletch Gatlin,10742-8285,Oversized T-Shirt,,11.0,,,,,Yogyakarta - Whatsapp,Elon,SiCepat,
371,372,2018/02/24,20:13:00,Ives Amor,63739-480,Oversized T-Shirt,,15.0,,8.0,,,Bogor - Lazada,Nami,Tiki,1.0
372,373,2018/02/14,16:47:53,Chlo Jefferys,11822-0974,Topi,,10.0,,,,,Yogyakarta - Whatsapp,Jeff,JNE,5.0
373,374,2018/02/14,3:57:03,Ilario Rottery,60681-2805,Oversized T-Shirt,,12.0,,30.0,,,Bandung - Shopee,Jeff,JNE,3.0
374,375,2018/02/11,21:28:44,Lindsy Tordoff,55154-4876,Parka Jackets,,3.0,,,,,Depok - Website,Mark,Shopee Express,2.0
375,376,2018/02/05,3:56:43,Bobbee Stollenbeck,55154-5482,Sweater,,25.0,,14.0,,,Jakarta - FB Marketplace,Nami,POS Indonesia,2.0
376,377,2018/02/09,21:22:29,Silas Ghidini,45737-251,Sweater,,16.0,,,,,Yogyakarta - Shopee,Mark,JNT,1.0
377,378,2018/02/11,21:32:29,Mandi Dmytryk,62721-0470,T-Shirt,,17.0,,,,,Bandung - Shopee,Wanokuni,Tiki,3.0
378,379,2018/02/21,22:06:43,Ab Jorry,62756-755,Topi,,18.0,,,,,Bogor - Lazada,Jeff,Tiki,3.0
379,380,2018/02/06,9:46:07,Milzie Baseggio,68703-082,T-Shirt,,20.0,,25.0,,,Bogor - Tokopedia,Elon,Tiki,5.0
380,381,2018/02/06,6:32:15,Madella Corbally,31722-330,Topi,,10.0,,19.0,,,Jakarta - Shopee,Rizal,SiCepat,2.0
381,382,2018/02/03,2:36:46,Burnaby Muslim,49999-818,T-Shirt,,3.0,,35.0,,,,Abraham,Wahana,4.0
382,383,2018/02/11,4:15:44,Susana Brammar,43269-854,T-Shirt,,24.0,,25.0,,,Bandung - Website,Jeff,Tiki,4.0
383,384,2018/02/03,15:26:02,Christiane Fenlon,30400-214,Parka Jackets,,13.0,,10.0,,,Bali - FB Marketplace,Rizal,Shopee Express,5.0
384,385,2018/02/17,20:34:16,Doralin Fricke,0078-0521,Oversized T-Shirt,,2.0,,,,,Bogor - Shopee,Abraham,POS Indonesia,5.0
385,386,2018/02/05,17:50:22,Ainslie Scothorn,68745-1048,T-Shirt,,1.0,,,,,Bali - Tiktok,Nami,Wahana,5.0
386,387,2018/02/19,5:26:27,Jena Ville,59779-458,Topi,,4.0,,31.0,,,Bandung - Instagram,Nami,Tiki,4.0
387,388,2018/02/12,13:00:46,Stesha O'Fallowne,45014-152,Oversized T-Shirt,,23.0,,30.0,,,Tangerang - FB Marketplace,Nami,Shopee Express,1.0
388,389,2018/02/10,19:23:25,Madella Corbally,10738-102,Sweater,,2.0,,21.0,,,Tangerang - Website,Mark,Tiki,
389,390,2018/02/24,12:29:27,Emma Beddoes,49527-571,Mug,,5.0,,24.0,,,Semarang - Shopee,Mark,Tiki,4.0
390,391,2018/02/07,0:18:27,Alain Eickhoff,0143-9768,Oversized T-Shirt,,9.0,,,,,Yogyakarta - Website,Jeff,JNE,4.0
391,392,2018/02/08,21:20:19,Curt Palfreman,35000-860,Parka Jackets,,23.0,,34.0,,,Bali - Whatsapp,Nami,JNE,3.0
392,393,2018/02/15,0:10:13,Verney Jacobovitz,49698-200,Topi,,13.0,,25.0,,,Depok - Shopee,Jeff,Tiki,
393,394,2018/02/11,23:25:52,Rona Kindon,35356-172,Mug,,,,,,,Semarang - FB Marketplace,Elon,Tiki,2.0
394,395,2018/02/11,16:27:29,Milzie Baseggio,54868-6106,T-Shirt,,18.0,,,,,Semarang - Tokopedia,Nami,JNT,4.0
395,396,2018/02/11,7:19:26,Marlin Ghion,67046-044,T-Shirt,,7.0,,,,,Jakarta - Tokopedia,Wanokuni,JNE,5.0
396,397,2018/02/11,8:16:47,Ursulina Adrianello,76237-209,Cargo Pants,,16.0,,13.0,,,Yogyakarta - Whatsapp,Jeff,JNT,1.0
397,398,2018/02/17,10:05:14,Mariam McKim,21695-855,Topi,,14.0,,,,,Tangerang - Shopee,Nami,Shopee Express,2.0
398,399,2018/02/05,5:15:25,Katrina Sisnett,35000-711,Sweater,,13.0,,7.0,,,Depok - Tokopedia,Rizal,JNE,5.0
399,400,2018/02/16,20:43:07,Kendell Folan,16729-006,T-Shirt,,6.0,,,,,Depok - FB Marketplace,Jeff,JNT,2.0
400,401,2018/02/13,9:14:47,Beitris Havile,48951-7116,Topi,,13.0,,27.0,,,Bali - Lazada,Rizal,POS Indonesia,2.0
401,402,2018/02/07,3:00:28,Flossy Mesnard,54868-3801,Oversized T-Shirt,,24.0,,,,,Jakarta - Shopee,Jeff,JNT,1.0
402,403,2018/02/25,22:25:44,Windy Barbosa,54868-1852,Parka Jackets,,10.0,,9.0,,,Tangerang - FB Marketplace,Elon,POS Indonesia,2.0
403,404,2018/02/22,11:43:38,Patrizia Devas,59762-5029,,,20.0,,26.0,,,Tangerang - Lazada,Wanokuni,JNT,3.0
404,405,2018/02/12,12:18:43,Martyn Rawkesby,55154-2660,T-Shirt,,19.0,,,,,Bandung - Lazada,Elon,SiCepat,
405,406,2018/02/08,8:27:13,Leia Instrell,51706-508,Oversized T-Shirt,,23.0,,12.0,,,Tangerang - Instagram,Elon,POS Indonesia,1.0
406,407,2018/02/16,16:26:57,Carina Nund,24509-0055,T-Shirt,,,,34.0,,,Bali - Shopee,Mark,POS Indonesia,4.0
407,408,2018/02/16,11:06:16,Dusty Warn,0409-7418,Oversized T-Shirt,,4.0,,,,,Jakarta - Tokopedia,Abraham,POS Indonesia,1.0
408,409,2018/02/08,5:07:21,Sada Blaisdale,68084-109,Cargo Pants,,16.0,,28.0,,,,Elon,POS Indonesia,1.0
409,410,2018/02/01,0:53:18,Anette Folbige,42291-710,T-Shirt,,,,7.0,,,Tangerang - Website,Wanokuni,JNE,3.0
410,411,2018/02/22,20:08:20,Madella Corbally,68479-220,Topi,,6.0,,34.0,,,Depok - Shopee,Nami,POS Indonesia,3.0
411,412,2018/02/10,14:37:54,Sheila Murfin,49738-374,Cargo Pants,,9.0,,16.0,,,Yogyakarta - Lazada,Abraham,JNT,1.0
412,413,2018/02/20,7:19:38,Hannah Fortnam,64980-307,Oversized T-Shirt,,15.0,,,,,Bali - Shopee,Nami,Tiki,4.0
413,414,2018/02/27,21:37:33,Nolan Redley,21695-677,T-Shirt,,5.0,,,,,Jakarta - Instagram,Elon,Shopee Express,1.0
414,415,2018/02/26,14:18:34,Gracia Murfin,33261-685,Oversized T-Shirt,,13.0,,,,,Depok - Tokopedia,Elon,,1.0
415,416,2018/02/10,15:52:21,Harwilll Bridgland,12634-260,Parka Jackets,,10.0,,,,,Bogor - FB Marketplace,Wanokuni,JNE,
416,417,2018/02/02,1:08:31,Boone Zanuciolii,76485-1016,T-Shirt,,21.0,,,,,Bandung - Lazada,Rizal,Wahana,2.0
417,418,2018/02/07,3:04:25,Ferd Tomaskov,52125-371,Topi,,6.0,,12.0,,,Depok - Shopee,Rizal,POS Indonesia,1.0
418,419,2018/02/18,0:29:30,Lulita Roycroft,66382-003,Oversized T-Shirt,,22.0,,13.0,,,Jakarta - Tokopedia,Wanokuni,Shopee Express,4.0
419,420,2018/02/22,4:53:40,Stacy Cosson,58668-0351,T-Shirt,,25.0,,,,,Depok - Lazada,Wanokuni,POS Indonesia,5.0
